"","trt","treatment","rep","start_day","time","event"
"407","71k-14","71k","14",42530,19,1
"408","71k-15","71k","15",42530,19,1
"409","71k-16","71k","16",42530,19,1
"410","71k-16","71k","16",42530,19,1
"411","71k-16","71k","16",42530,19,1
"412","71k-16","71k","16",42530,19,1
"413","71k-16","71k","16",42530,19,1
"414","71k-16","71k","16",42530,19,1
"415","71k-16","71k","16",42530,19,1
"416","71k-16","71k","16",42530,19,1
"417","71k-16","71k","16",42530,19,1
"418","71k-16","71k","16",42530,19,1
"419","71k-17","71k","17",42531,18,1
"420","71k-17","71k","17",42531,18,1
"421","71k-17","71k","17",42531,18,1
"422","71k-17","71k","17",42531,18,1
"423","71k-17","71k","17",42531,18,1
"424","71k-17","71k","17",42531,18,1
"425","71k-17","71k","17",42531,18,1
"426","71k-17","71k","17",42531,18,1
"427","71k-17","71k","17",42531,18,1
"428","71k-17","71k","17",42531,18,1
"429","71k-17","71k","17",42531,18,1
"430","71k-17","71k","17",42531,18,1
"431","71k-17","71k","17",42531,18,1
"432","71k-17","71k","17",42531,18,1
"433","71k-17","71k","17",42531,18,1
"434","71k-17","71k","17",42531,18,1
"435","71k-17","71k","17",42531,18,1
"436","71k-18","71k","18",42531,18,1
"437","71k-18","71k","18",42531,18,1
"438","71k-18","71k","18",42531,18,1
"439","71k-18","71k","18",42531,18,1
"440","71k-18","71k","18",42531,18,1
"441","71k-18","71k","18",42531,18,1
"442","71k-18","71k","18",42531,18,1
"443","71k-18","71k","18",42531,18,1
"444","71k-18","71k","18",42531,18,1
"445","71k-19","71k","19",42531,18,1
"446","71k-19","71k","19",42531,18,1
"447","71k-19","71k","19",42531,18,1
"448","75o-13","75o","13",42529,20,1
"449","75o-13","75o","13",42529,20,1
"450","75o-13","75o","13",42529,20,1
"451","75o-14","75o","14",42530,19,1
"452","75o-14","75o","14",42530,19,1
"453","75o-14","75o","14",42530,19,1
"454","75o-16","75o","16",42530,19,1
"455","75o-18","75o","18",42531,18,1
"456","GDH-11","GDH","11",42529,20,1
"457","GDH-11","GDH","11",42529,20,1
"458","GDH-12","GDH","12",42529,20,1
"459","GDH-12","GDH","12",42529,20,1
"460","GDH-12","GDH","12",42529,20,1
"461","GDH-12","GDH","12",42529,20,1
"462","GDH-12","GDH","12",42529,20,1
"463","GDH-12","GDH","12",42529,20,1
"464","GDH-12","GDH","12",42529,20,1
"465","GDH-13","GDH","13",42529,20,1
"466","GDH-13","GDH","13",42529,20,1
"467","GDH-13","GDH","13",42529,20,1
"468","GDH-13","GDH","13",42529,20,1
"469","GDH-13","GDH","13",42529,20,1
"470","GDH-13","GDH","13",42529,20,1
"471","GDH-15","GDH","15",42530,19,1
"472","GDH-16","GDH","16",42530,19,1
"473","GDH-16","GDH","16",42530,19,1
"474","GDH-16","GDH","16",42530,19,1
"475","GDH-16","GDH","16",42530,19,1
"476","GDH-17","GDH","17",42531,18,1
"477","GDH-17","GDH","17",42531,18,1
"478","GDH-18","GDH","18",42531,18,1
"479","GDH-18","GDH","18",42531,18,1
"480","GDH-18","GDH","18",42531,18,1
"481","GDH-18","GDH","18",42531,18,1
"482","GDH-18","GDH","18",42531,18,1
"483","GDH-18","GDH","18",42531,18,1
"484","GDH-18","GDH","18",42531,18,1
"485","GDH-18","GDH","18",42531,18,1
"486","GDH-18","GDH","18",42531,18,1
"487","GDH-18","GDH","18",42531,18,1
"488","GDH-18","GDH","18",42531,18,1
"489","GDH-18","GDH","18",42531,18,1
"490","GDH-18","GDH","18",42531,18,1
"491","GDH-18","GDH","18",42531,18,1
"492","GDH-18","GDH","18",42531,18,1
"493","GDH-18","GDH","18",42531,18,1
"494","GDH-18","GDH","18",42531,18,1
"495","GDH-19","GDH","19",42531,18,1
