"","trt","value","date","offspring","vialnum","date2","date3","trt_date","egg_laying_duration","cum_female","vial","interval","fecundity","trt_date2"
"187","16i-19","1","42544",1,"19","2",13,"16i-19_42544",0.779861111106584,8,"16i",4,0.641139804099893,"16i_13"
"188","28n-11","465","42544",465,"11","0",15,"28n-11_42544",0.765972222223354,27,"28n",4,89.9365367179088,"28n_15"
"189","28n-12","294","42544",294,"12","0",15,"28n-12_42544",0.765972222223354,16,"28n",4,95.9564823208011,"28n_15"
"190","28n-13","463","42544",463,"13","0",15,"28n-13_42544",0.765972222223354,22,"28n",4,109.901920382266,"28n_15"
"191","28n-14","331","42544",331,"14","1",14,"28n-14_42544",0.765972222223354,19,"28n",4,90.974853270849,"28n_14"
"192","28n-15","313+","42544",500,"15","1",14,"28n-15_42544",0.765972222223354,21,"28n",4,124.336225877293,"28n_14"
"193","28n-16","384","42544",384,"16","1",14,"28n-16_42544",0.765972222223354,15,"28n",4,133.686310063266,"28n_14"
"194","28n-17","440+","42544",500,"17","2",13,"28n-17_42544",0.772916666668607,24,"28n",4,107.816711590026,"28n_13"
"195","28n-18","432+","42544",500,"18","2",13,"28n-18_42544",0.772916666668607,22,"28n",4,117.618230825483,"28n_13"
"196","28n-19","367+","42544",500,"19","2",13,"28n-19_42544",0.772916666668607,25,"28n",4,103.504043126425,"28n_13"
"197","30p-11","363","42544",363,"11","0",15,"30p-11_42544",0.765972222223354,17,"30p",4,111.507652925013,"30p_15"
"198","30p-12","389+","42544",500,"12","0",15,"30p-12_42544",0.765972222223354,19,"30p",4,137.42424965385,"30p_15"
"199","30p-13","346","42544",346,"13","0",15,"30p-13_42544",0.765972222223354,19,"30p",4,95.0975807604645,"30p_15"
"200","30p-14","600+","42544",500,"14","1",14,"30p-14_42544",0.765972222223354,32,"30p",4,81.5956482319737,"30p_14"
"201","30p-15","122","42544",122,"15","1",14,"30p-15_42544",0.765972222223354,8,"30p",4,79.6373526744063,"30p_14"
"202","30p-16","316","42544",316,"16","1",14,"30p-16_42544",0.765972222223354,13,"30p",4,126.937722295649,"30p_14"
"203","30p-18","317","42544",317,"18","2",13,"30p-18_42544",0.772916666668607,14,"30p",4,117.181363110988,"30p_13"
"204","30p-19","258","42544",258,"19","2",13,"30p-19_42544",0.772916666668607,10,"30p",4,133.520215633088,"30p_13"
"205","35u-11","418+","42544",500,"11","0",15,"35u-11_42544",0.765972222223354,25,"35u",4,104.442429736926,"35u_15"
"206","35u-12","374","42544",374,"12","0",15,"35u-12_42544",0.765972222223354,14,"35u",4,139.505245434323,"35u_15"
"207","35u-13","403","42544",403,"13","0",15,"35u-13_42544",0.765972222223354,22,"35u",4,95.6597708726848,"35u_15"
"208","35u-15","397","42544",397,"15","1",14,"35u-15_42544",0.765972222223354,19,"35u",4,109.114854225157,"35u_14"
"209","35u-16","351+","42544",500,"16","1",14,"35u-16_42544",0.765972222223354,26,"35u",4,100.425413208583,"35u_14"
"210","35u-17","343","42544",343,"17","2",13,"35u-17_42544",0.772916666668607,25,"35u",4,71.0037735847274,"35u_13"
"211","35u-18","37","42544",37,"18","2",13,"35u-18_42544",0.772916666668607,4,"35u",4,47.8706199459715,"35u_13"
"212","35u-19","112","42544",112,"19","2",13,"35u-19_42544",0.772916666668607,10,"35u",4,57.9622641507979,"35u_13"
"213","70j-11","319","42544",319,"11","0",15,"70j-11_42544",0.765972222223354,27,"70j",4,61.6983983075546,"70j_15"
"214","70j-12","118","42544",118,"12","0",15,"70j-12_42544",0.765972222223354,15,"70j",4,41.0806890298577,"70j_15"
"215","70j-13","476","42544",476,"13","0",15,"70j-13_42544",0.765972222223354,35,"70j",4,71.0208522211099,"70j_15"
"216","70j-14","360","42544",360,"14","1",14,"70j-14_42544",0.765972222223354,27,"70j",4,69.6282864912842,"70j_14"
"217","70j-15","260+","42544",500,"15","1",14,"70j-15_42544",0.765972222223354,16,"70j",4,163.191296463947,"70j_14"
"218","70j-16","369","42544",369,"16","1",14,"70j-16_42544",0.770138888889051,38,"70j",4,50.4351952920971,"70j_14"
"219","70j-17","95","42544",95,"17","2",13,"70j-17_42544",0.779861111106584,11,"70j",4,44.296931919629,"70j_13"
"220","70j-19","77","42544",77,"19","2",13,"70j-19_42544",0.779861111106584,16,"70j",4,24.6838824578459,"70j_13"
"221","71k-11","196","42544",196,"11","0",15,"71k-11_42544",0.770138888889051,19,"71k",4,53.578852451225,"71k_15"
"222","71k-12","82","42544",82,"12","0",15,"71k-12_42544",0.770138888889051,19,"71k",4,22.4156423520431,"71k_15"
